,RB,SE,RMSE,RB,SE,RMSE,RB,SE,RMSE,RB,SE,RMSE
CC,38.6,0.025,0.195,41.3,0.025,0.208,43.1,0.025,0.217,43.8,0.025,0.221
PPM_0,10.7,0.024,0.058,10.7,0.024,0.059,10.7,0.024,0.059,10.7,0.024,0.059
PPM_1,2.2,0.025,0.027,1.1,0.025,0.025,0.3,0.025,0.025,0.0,0.025,0.025
PPM_inf,-8.9,0.027,0.053,-11.6,0.028,0.064,-13.5,0.029,0.073,-14.3,0.029,0.077
MAR,11.0,0.027,0.061,11.5,0.028,0.064,12.0,0.028,0.066,11.2,0.028,0.062
FI_c,0.2,0.032,0.032,0.1,0.035,0.035,-0.5,0.044,0.044,9.5,0.089,0.101
FI_m,-0.1,0.033,0.033,-1.5,0.045,0.046,-6.1,0.068,0.075,-13.6,0.051,0.085
1,1.3,0.211,0.212,2.4,0.291,0.292,8.1,0.550,0.556,-83.2,1.574,1.780
