"","year","geo","gender","edu","age","age_g","stt","mrg","income","exp1","exp2"
"2559",2021,"G2",1,4,53,5,3,2,6338,2676,1295
"2560",2021,"G2",2,4,30,3,3,2,2280,2030,747
"2561",2021,"G2",1,3,62,6,4,4,5772,1244,1843
"2562",2021,"G2",1,4,46,4,3,1,2357,1790,381
"2563",2021,"G2",2,1,64,6,2,3,1379,782,1
"2564",2021,"G2",1,1,82,7,3,3,1591,572,48
"2565",2021,"G2",1,3,52,5,3,2,4348,2230,362
"2566",2021,"G2",2,2,61,6,1,2,2378,2098,426
"2567",2021,"G2",1,4,66,6,4,4,1742,1633,102
"2568",2021,"G2",1,2,89,7,4,3,1101,738,1
"2569",2021,"G2",2,3,50,5,4,4,2756,2570,288
"2570",2021,"G2",2,1,67,6,4,3,672,1043,41
"2571",2021,"G2",2,3,84,7,4,3,2710,1965,417
"2572",2021,"G2",1,4,55,5,1,2,9786,2120,475
"2573",2021,"G2",1,3,58,5,3,2,8914,3200,2597
"2574",2021,"G2",2,1,76,7,2,3,1696,1126,88
"2575",2021,"G2",1,4,46,4,3,2,21810,7450,3311
"2576",2021,"G2",2,1,86,7,4,3,790,896,3
"2577",2021,"G2",1,4,46,4,2,2,1254,2544,142
"2578",2021,"G2",1,4,38,3,1,2,4060,1910,491
"2579",2021,"G2",1,4,64,6,4,4,1276,1002,40
"2580",2021,"G2",1,4,40,4,1,2,5759,3930,791
"2581",2021,"G2",1,1,73,7,2,2,2093,1473,86
"2582",2021,"G2",2,1,82,7,2,3,1390,944,2
"2583",2021,"G2",1,2,66,6,4,2,3908,3697,130
"2584",2021,"G2",1,3,63,6,3,2,6105,1800,432
"2585",2021,"G2",1,4,45,4,1,2,10558,4750,1555
"2586",2021,"G2",2,2,59,5,1,2,8631,2710,625
"2587",2021,"G2",2,1,82,7,4,3,824,642,0
"2588",2021,"G2",1,3,60,6,3,2,8261,3100,2166
"2589",2021,"G2",2,1,69,6,4,3,7212,3000,579
"2590",2021,"G2",1,3,76,7,4,2,4003,2343,463
"2591",2021,"G2",1,1,76,7,3,2,1662,927,17
"2592",2021,"G2",1,1,71,7,4,2,1314,1350,30
"2593",2021,"G2",1,2,64,6,3,2,2591,1870,522
"2594",2021,"G2",1,4,39,3,1,2,7619,3202,1205
"2595",2021,"G2",2,3,58,5,3,4,1120,1421,123
"2596",2021,"G2",1,3,66,6,3,2,3042,2340,1088
"2597",2021,"G2",1,4,39,3,3,2,7983,3340,743
"2598",2021,"G2",2,1,69,6,4,3,1510,1361,294
"2599",2021,"G2",1,4,33,3,1,1,6117,2884,1416
"2600",2021,"G2",1,4,24,2,1,1,3410,2062,214
"2601",2021,"G2",2,3,83,7,4,3,1232,967,85
"2602",2021,"G2",1,4,73,7,4,2,16934,13530,5784
"2603",2021,"G2",1,3,65,6,1,2,3405,2495,351
"2604",2021,"G2",2,3,47,4,2,3,2633,1904,36
"2605",2021,"G2",1,4,58,5,4,2,4555,3010,750
"2606",2021,"G2",2,3,19,2,2,1,1200,1179,0
"2607",2021,"G2",1,4,43,4,1,2,5022,3780,416
"2608",2021,"G2",1,3,51,5,4,1,2063,1004,122
"2609",2021,"G2",1,4,35,3,1,1,3054,2000,349
"2610",2021,"G2",1,2,61,6,1,2,9431,3560,626
"2611",2021,"G2",2,1,87,7,4,3,620,415,91
"2612",2021,"G2",1,2,71,7,3,2,2255,1760,225
"2613",2021,"G2",1,4,37,3,1,2,5341,3906,1022
"2614",2021,"G2",1,4,49,4,1,1,9064,2280,982
