,RB,CR,RB,CR,RB,CR,RB,CR
CC,0.3,0.1,1.6,0.0,2.2,0.0,0.7,0.0
PPM_0,-5.0,41.2,-3.3,40.5,-3.4,40.0,-5.5,39.7
PPM_1,-7.4,71.7,-5.8,75.6,-6.4,78.1,-8.9,78.7
PPM_inf,-10.8,93.0,-9.8,93.8,-11.1,93.1,-13.7,92.3
MAR,-5.9,37.5,-0.9,36.1,1.3,39.2,-1.3,44.1
FI_c,1.8,95.4,4.5,95.3,2.3,95.1,-10.0,94.0
y,1.5,95.5,2.7,95.9,0.3,95.3,-12.0,94.4
